time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.0,0.20943951023931956,0.10471975511965978,0.20943951023931956,0.0,0.0,9.81
0.01,0.2092134867791031,0.10515628083796619,0.20921794245669573,-0.016585731843514195,-0.009440521903516106,9.81002929772487
0.02,0.2089740783539368,0.10558852500605138,0.20899191420317464,-0.033296469120911956,-0.01885263307314617,9.810116802983933
0.03,0.20872130491191174,0.10601643567135792,0.20876146481778207,-0.05013152511702433,-0.02823410913583603,9.810261911472903
0.04,0.20845518725495749,0.10643996125424232,0.2085266340649973,-0.06709018213986094,-0.03758273324785173,9.810463989227596
0.05,0.20817574703675176,0.10685905055699493,0.20828746212604987,-0.08417169158442514,-0.04689629666587297,9.810722372945332
0.06,0.20788300676057675,0.10727365277274095,0.2080439895900761,-0.10137527400399315,-0.056172599312710736,9.81103637031992
0.07,0.20757698977712047,0.10768371749421998,0.2077962574451364,-0.11870011918884085,-0.06540945033739912,9.811405260389888
0.08,0.2072577202822253,0.10808919472244186,0.20754430706909627,-0.13614538625240072,-0.07460466866941476,9.811828293899955
0.09,0.20692522331458274,0.10849003487521594,0.20728818022037418,-0.15371020372482908,-0.08375608356678496,9.812304693675399
0.1,0.2065795247533751,0.10888618879555205,0.2070279190285586,-0.17139366965396088,-0.09286153515784806,9.81283365500922
0.11,0.20622065131586448,0.10927760775993049,0.20676356598489723,-0.18919485171362732,-0.10191887497643576,9.813414346061833
0.12,0.20584863055492897,0.10966424348643905,0.20649516393266065,-0.2071127873193103,-0.11092596649025266,9.814045908273103
0.13,0.20546349085654667,0.11004604814277502,0.20622275605738438,-0.22514648375110427,-0.1198806856222343,9.814727456786523
0.14,0.20506526143722767,0.1104229743541097,0.2059463858769913,-0.24329491828395416,-0.1287809212646709,9.815458080885266
0.15,0.20465397234139424,0.11079497521081415,0.20566609723179816,-0.26155703832513677,-0.137624575785885,9.816236844439908
0.16,0.20422965443870958,0.1111620042760435,0.20538193427440854,-0.2799317615589503,-0.14640956552926837,9.817062786367615
